customer_id,total_bets,total_bet_stakes,total_bet_revenue,last_sportsbook_bet_placed_date
88,5,24.50,15.15,28-Jan-2022 10:32:02
24,268,22700.00,-563.48,30-Jan-2022 13:13:03
25,1,2.00,2.00,03-Jan-2022 16:49:20
60,5,10.00,10.00,02-Jan-2022 09:11:19
9,3,110.00,110.00,11-Jan-2022 11:00:20
14,1,10.00,10.00,05-Dec-2021 21:15:05
31,44,1461.34,50.39,26-Jan-2022 13:36:27
63,1,3.00,3.00,22-Jan-2022 13:58:47
37,6,100.83,97.09,24-Jan-2022 23:14:41
23,1,2.24,2.24,10-Jan-2022 18:51:34
97,36,374.07,28.74,27-Jan-2022 11:55:21
22,33,282.36,-112.30,30-Jan-2022 21:55:52
59,467,21042.47,627.34,31-Jan-2022 16:35:07
36,5,21.00,21.00,30-Jan-2022 13:03:41
65,2,2.00,2.00,13-Jan-2022 20:53:16
91,6,80.00,-131.38,30-Jan-2022 09:52:18
5,5,30.00,10.75,28-Jan-2022 19:33:01
54,2,10.99,10.99,25-Jan-2022 20:02:04
64,22,990.00,193.91,30-Jan-2022 18:29:51
2,1,75.00,75.00,31-Dec-2021 19:37:29
46,87,655.93,-113.07,30-Jan-2022 17:29:51
98,2,12.78,12.78,29-Jan-2022 22:58:48
56,16,200.00,8.11,30-Jan-2022 18:42:44
47,25,1468.52,-804.68,30-Jan-2022 20:13:16
73,2,21.00,21.00,15-Jan-2022 16:24:06
96,36,370.00,81.57,30-Jan-2022 14:07:16
61,5,535.00,535.00,30-Jan-2022 18:30:56
89,15,294.00,47.02,29-Jan-2022 11:40:02
21,13,662.72,146.70,22-Jan-2022 12:16:24
90,66,282.40,24.76,30-Jan-2022 18:44:45
81,21,42.00,16.10,29-Jan-2022 17:41:13
42,11,69.00,-61.00,30-Jan-2022 13:44:47
70,50,5500.99,501.73,30-Jan-2022 21:53:16
27,104,2422.31,369.25,30-Jan-2022 22:21:34
67,3,79.95,-47.30,23-Jan-2022 14:19:37
50,1,25.00,25.00,10-Jan-2022 19:41:42
92,142,8259.19,19.58,31-Jan-2022 09:21:02
26,2,221.50,221.50,09-Jan-2022 15:34:40
82,170,2952.87,602.30,31-Jan-2022 18:18:38
76,27,503.00,-88.23,28-Jan-2022 13:12:38
99,6,2587.00,1097.65,16-Jan-2022 15:40:43
3,30,340.51,270.57,19-Jan-2022 03:27:09
17,37,90.00,90.00,15-Jan-2022 18:27:58
38,1,5.00,5.00,03-Sep-2021 13:12:06
62,1,30.00,30.00,23-Jan-2022 10:14:56
6,2,25.00,25.00,16-Jan-2022 09:00:42
30,19,75.00,65.47,23-Jan-2022 17:33:40
41,43,63.76,-2.74,26-Jan-2022 18:10:17
93,266,3824.52,521.51,30-Jan-2022 18:37:45
39,17,150.00,74.42,28-Jan-2022 19:13:27
43,101,1236.60,230.58,30-Jan-2022 19:33:04
28,1,5.00,5.00,26-Jan-2022 22:41:56
71,2,37.53,37.53,10-Jan-2022 19:57:26
8,2,20.00,-50.00,30-Jan-2022 21:16:56
74,26,1120.74,-377.11,30-Jan-2022 18:49:06